id	onSequence	start	end	strand	name	annotation	species	source	method	score
9902	10255	154	427	1	KYP66812.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.5e-59
9903	10255	154	427	1	KYP64004.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Cajanus cajan	nr	diaBlastP	1.7e-58
9904	10255	143	427	1	AAO73529.1	gag-pol polyprotein	Glycine max	nr	diaBlastP	2.8e-58
9905	10259	250	1140	1	XP_022039410.1	uncharacterized protein LOC110942026	Helianthus annuus	nr	diaBlastP	1.0e-281
9906	10259	250	1140	1	OTG01551.1	putative transposon, En/Spm-like protein	Helianthus annuus	nr	diaBlastP	3.0e-281
9907	10259	250	1140	1	XP_022003786.1	uncharacterized protein LOC110901255	Helianthus annuus	nr	diaBlastP	3.0e-281
9908	10259	304	1140	1	OTG26449.1	hypothetical protein HannXRQ_Chr05g0158791	Helianthus annuus	nr	diaBlastP	2.8e-271
9909	10259	397	1140	1	XP_022003758.1	uncharacterized protein LOC110901226	Helianthus annuus	nr	diaBlastP	6.5e-252
9910	10261	1	1186	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.8e-260
9911	10261	1	1186	1	KYP64004.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Cajanus cajan	nr	diaBlastP	6.2e-253
9912	10261	1	1186	1	AEJ07931.1	Opie3 pol protein	Zea mays subsp. mexicana	nr	diaBlastP	4.6e-248
9913	10261	1	1186	1	AEJ07899.1	Opie3 putative pol protein	Zea mays subsp. mexicana	nr	diaBlastP	7.8e-248
9914	10261	1	1186	1	ABF67921.1	Ji1 putative pol protein	Zea mays	nr	diaBlastP	5.1e-247
9915	10262	210	933	1	OTG35476.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	4.5e-57
9916	10262	207	551	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.5e-56
9917	10262	273	411	1	XP_022024599.1	uncharacterized protein LOC110924935	Helianthus annuus	nr	diaBlastP	2.5e-55
9918	10262	210	661	1	XP_022010897.1	uncharacterized protein LOC110910579 isoform X2	Helianthus annuus	nr	diaBlastP	2.2e-48
9919	10262	210	661	1	XP_022010495.1	uncharacterized protein LOC110910089	Helianthus annuus	nr	diaBlastP	3.8e-48
9920	10263	2	550	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	2.3e-250
9921	10263	2	550	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	8.7e-202
9922	10263	2	549	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	1.9e-201
9923	10263	23	550	1	ADB85429.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	1.1e-196
9924	10263	2	549	1	AAC26250.1	contains similarity to reverse transcriptase (Pfam: rvt.hmm, score 19.29)	Arabidopsis thaliana	nr	diaBlastP	1.1e-196
9925	10264	516	1080	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	9.8e-149
9926	10264	516	1080	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	9.8e-149
9927	10264	516	1080	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.7e-148
9928	10264	504	1081	1	XP_022026692.1	uncharacterized protein LOC110927330	Helianthus annuus	nr	diaBlastP	1.9e-147
9929	10264	454	1079	1	XP_022019213.1	uncharacterized protein LOC110919247	Helianthus annuus	nr	diaBlastP	1.2e-101
9930	10266	226	336	1	XP_022007720.1	uncharacterized protein LOC110906982	Helianthus annuus	nr	diaBlastP	1.2e-21
9931	10266	226	336	1	XP_022036694.1	uncharacterized protein LOC110939292	Helianthus annuus	nr	diaBlastP	3.6e-21
9932	10266	226	336	1	XP_022022768.1	uncharacterized protein LOC110922575	Helianthus annuus	nr	diaBlastP	4.7e-21
9933	10266	226	336	1	XP_022030750.1	uncharacterized protein LOC110931673	Helianthus annuus	nr	diaBlastP	4.7e-21
9934	10266	225	336	1	XP_022040146.1	uncharacterized protein LOC110942683	Helianthus annuus	nr	diaBlastP	4.7e-21
9935	10265	1	1752	1	XP_022025489.1	callose synthase 12-like	Helianthus annuus	nr	diaBlastP	0.0e+00
9936	10265	1	1752	1	KVI04258.1	1,3-beta-glucan synthase subunit FKS1-like, domain-1	Cynara cardunculus var. scolymus	nr	diaBlastP	0.0e+00
9937	10265	1	1751	1	OTF86834.1	putative glucan synthase-like 5	Helianthus annuus	nr	diaBlastP	0.0e+00
9938	10265	1	1751	1	XP_022025740.1	callose synthase 12-like	Helianthus annuus	nr	diaBlastP	0.0e+00
9939	10265	1	1752	1	PHU12357.1	Callose synthase 12	Capsicum chinense	nr	diaBlastP	0.0e+00
9940	10268	31	220	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	4.5e-77
9941	10268	31	219	1	AAP52343.2	retrotransposon protein, putative, Ty1-copia subclass	Oryza sativa Japonica Group	nr	diaBlastP	8.3e-55
9942	10268	31	219	1	AAM74249.1	Putative retroelement	Oryza sativa Japonica Group	nr	diaBlastP	8.3e-55
9943	10268	31	219	1	KZV20448.1	retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Dorcoceras hygrometricum	nr	diaBlastP	8.3e-55
9944	10268	31	219	1	KZV22848.1	hypothetical protein F511_19440	Dorcoceras hygrometricum	nr	diaBlastP	8.3e-55
9945	10272	484	970	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.8e-113
9946	10272	484	970	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	6.6e-113
9947	10272	484	970	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	6.6e-113
9948	10272	407	744	1	XP_022026692.1	uncharacterized protein LOC110927330	Helianthus annuus	nr	diaBlastP	7.3e-104
9949	10272	478	744	1	OTG35476.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	1.5e-69
9950	10274	1	389	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	9.5e-76
9951	10274	1	389	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	3.6e-75
9952	10274	1	385	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	3.5e-70
9953	10274	1	385	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	2.9e-69
9954	10274	1	385	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	1.5e-68
9955	10277	2	426	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	3.7e-78
9956	10277	2	426	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	1.4e-77
9957	10277	2	381	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	1.4e-77
9958	10277	2	381	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	2.6e-76
9959	10277	2	381	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	4.5e-76
9960	10283	1	476	1	APU93382.1	putative gag-pol polyprotein	Marshallia obovata	nr	diaBlastP	2.1e-172
9961	10283	1	472	1	OTG19951.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	8.4e-169
9962	10283	1	472	1	OTG27877.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	8.4e-169
9963	10283	1	472	1	OTG06580.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.4e-168
9964	10283	1	472	1	OTG36565.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	3.2e-168
9965	10285	4	857	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	3.3e-99
9966	10285	646	816	1	GAU42103.1	hypothetical protein TSUD_134870	Trifolium subterraneum	nr	diaBlastP	3.9e-23
9967	10285	646	816	1	GAU46953.1	hypothetical protein TSUD_281880	Trifolium subterraneum	nr	diaBlastP	5.1e-23
9968	10285	645	825	1	XP_014757872.1	PREDICTED: uncharacterized protein LOC106866719	Brachypodium distachyon	nr	diaBlastP	2.5e-22
9969	10285	751	858	1	AGM34085.1	cysteine-rich RLK	Lactuca sativa	nr	diaBlastP	1.6e-21
9970	10284	999	1857	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.0e-300
9971	10284	999	1857	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.0e-299
9972	10284	999	1857	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.2e-298
9973	10284	1007	1857	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	5.3e-219
9974	10284	1007	1857	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	6.1e-215
9975	10288	1	110	1	EXX58445.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	2.0e-28
9976	10288	1	110	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	9.9e-28
9977	10288	1	110	1	XP_017233141.1	PREDICTED: uncharacterized mitochondrial protein AtMg00810-like, partial	Daucus carota subsp. sativus	nr	diaBlastP	3.2e-26
9978	10288	1	110	1	KZN00833.1	hypothetical protein DCAR_009587	Daucus carota subsp. sativus	nr	diaBlastP	2.1e-25
9979	10288	1	111	1	KZV42912.1	hypothetical protein F511_14474	Dorcoceras hygrometricum	nr	diaBlastP	7.8e-25
9980	10287	666	1127	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	2.8e-84
9981	10287	666	1127	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	3.6e-84
9982	10287	680	1070	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	3.4e-82
9983	10287	680	1070	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	1.7e-81
9984	10287	680	1070	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	6.4e-81
9985	10292	613	1166	1	KYP33441.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	3.4e-86
9986	10292	613	1166	1	KYP33249.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	2.8e-85
9987	10292	613	1166	1	KYP32982.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.1e-84
9988	10292	613	1166	1	KYP47407.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.4e-84
9989	10292	613	1166	1	KYP78729.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.4e-84
9990	10295	355	506	1	XP_022024307.1	uncharacterized protein LOC110924623	Helianthus annuus	nr	diaBlastP	1.1e-45
9991	10295	357	514	1	XP_021986374.1	uncharacterized protein LOC110882736	Helianthus annuus	nr	diaBlastP	2.0e-44
9992	10295	350	518	1	OTG10862.1	putative retrotransposon gag domain-containing protein	Helianthus annuus	nr	diaBlastP	4.7e-41
9993	10295	357	510	1	OTG13392.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	8.0e-41
9994	10295	357	518	1	OTG37047.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	5.2e-40
9995	10299	350	1071	1	XP_012846969.1	PREDICTED: uncharacterized protein LOC105966941	Erythranthe guttata	nr	diaBlastP	3.6e-115
9996	10299	350	1071	1	XP_012850949.1	PREDICTED: uncharacterized protein LOC105970659	Erythranthe guttata	nr	diaBlastP	3.1e-114
9997	10299	350	1071	1	XP_012849593.1	PREDICTED: uncharacterized protein LOC105969384	Erythranthe guttata	nr	diaBlastP	9.9e-113
9998	10299	345	1071	1	CCI55376.1	PH01B035L11.21	Phyllostachys edulis	nr	diaBlastP	5.1e-109
9999	10299	662	1071	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	8.7e-109
10000	10297	29	597	1	XP_022030961.1	uncharacterized protein LOC110931898	Helianthus annuus	nr	diaBlastP	2.6e-210
10001	10297	29	597	1	APU93382.1	putative gag-pol polyprotein	Marshallia obovata	nr	diaBlastP	8.3e-209
10002	10297	29	597	1	OTG05221.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	1.1e-208
10003	10297	34	597	1	XP_022040299.1	uncharacterized protein LOC110942844	Helianthus annuus	nr	diaBlastP	6.6e-206
10004	10297	29	597	1	XP_021975263.1	uncharacterized protein LOC110870386	Helianthus annuus	nr	diaBlastP	1.2e-199
10005	10301	914	1964	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10006	10301	914	1964	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10007	10301	914	1964	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10008	10301	908	1956	1	OTG35476.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	1.9e-291
10009	10301	922	1956	1	OTG07581.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	4.8e-287
10010	10302	253	889	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	7.5e-179
10011	10302	253	889	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	6.3e-178
10012	10302	253	889	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.1e-177
10013	10302	568	889	1	XP_021991013.1	uncharacterized protein LOC110887749	Helianthus annuus	nr	diaBlastP	5.4e-129
10014	10302	570	889	1	XP_022019101.1	uncharacterized protein LOC110919129	Helianthus annuus	nr	diaBlastP	8.1e-125
10015	10303	11	406	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	9.0e-94
10016	10303	11	406	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	3.4e-93
10017	10303	11	406	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	2.5e-88
10018	10303	11	406	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	5.6e-88
10019	10303	11	422	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	9.6e-88
10020	10305	14	537	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	2.7e-224
10021	10305	3	536	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	2.4e-188
10022	10305	37	536	1	ADB85429.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	5.8e-182
10023	10305	4	542	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	4.1e-180
10024	10305	7	536	1	AAC26250.1	contains similarity to reverse transcriptase (Pfam: rvt.hmm, score 19.29)	Arabidopsis thaliana	nr	diaBlastP	7.0e-180
10025	10307	157	256	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	7.5e-23
10026	10307	157	256	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	7.5e-23
10027	10307	157	256	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	7.5e-23
10028	10307	157	256	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	1.3e-22
10029	10307	157	256	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	1.3e-22
10030	10309	149	557	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	3.3e-164
10031	10309	149	557	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	4.2e-127
10032	10309	163	555	1	AAC26250.1	contains similarity to reverse transcriptase (Pfam: rvt.hmm, score 19.29)	Arabidopsis thaliana	nr	diaBlastP	1.1e-124
10033	10309	152	556	1	ABA98367.2	retrotransposon protein, putative, Ty1-copia subclass	Oryza sativa Japonica Group	nr	diaBlastP	5.5e-119
10034	10309	149	557	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	1.9e-116
10035	10311	266	1013	1	XP_021626891.1	uncharacterized protein LOC110625565	Manihot esculenta	nr	diaBlastP	4.2e-178
10036	10311	253	912	1	PIN01369.1	DNA-directed DNA polymerase	Handroanthus impetiginosus	nr	diaBlastP	8.0e-177
10037	10311	253	1013	1	XP_019102670.1	PREDICTED: uncharacterized protein LOC104908874, partial	Beta vulgaris subsp. vulgaris	nr	diaBlastP	7.5e-175
10038	10311	253	1013	1	XP_010670252.2	PREDICTED: uncharacterized protein LOC104887336	Beta vulgaris subsp. vulgaris	nr	diaBlastP	7.5e-175
10039	10311	253	1013	1	XP_010689442.1	PREDICTED: uncharacterized protein LOC104903138	Beta vulgaris subsp. vulgaris	nr	diaBlastP	1.4e-173
10040	10312	51	1055	1	XP_021745243.1	LOW QUALITY PROTEIN: uncharacterized protein LOC110711169	Chenopodium quinoa	nr	diaBlastP	0.0e+00
10041	10312	54	1055	1	XP_015572689.1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107260976	Ricinus communis	nr	diaBlastP	0.0e+00
10042	10312	51	1055	1	XP_021760259.1	uncharacterized protein LOC110725096	Chenopodium quinoa	nr	diaBlastP	0.0e+00
10043	10312	46	1055	1	XP_021626891.1	uncharacterized protein LOC110625565	Manihot esculenta	nr	diaBlastP	0.0e+00
10044	10312	51	1055	1	XP_021715728.1	uncharacterized protein LOC110683644	Chenopodium quinoa	nr	diaBlastP	0.0e+00
10045	10315	110	458	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	2.4e-73
10046	10315	110	458	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	9.3e-73
10047	10315	110	459	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	1.5e-70
10048	10315	110	459	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	3.3e-70
10049	10315	110	459	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	1.3e-69
10050	10317	1	269	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	1.9e-32
10051	10320	28	292	1	ONM53611.1	Retrovirus-related Pol polyprotein LINE-1	Zea mays	nr	diaBlastP	3.8e-58
10052	10320	97	288	1	XP_021971462.1	uncharacterized protein LOC110866628	Helianthus annuus	nr	diaBlastP	6.7e-55
10053	10320	28	288	1	AQK66479.1	Retrovirus-related Pol polyprotein LINE-1	Zea mays	nr	diaBlastP	1.5e-54
10054	10320	28	288	1	CCH50976.1	T4.15	Malus x robusta	nr	diaBlastP	5.6e-54
10055	10320	28	288	1	AQK43450.1	Retrovirus-related Pol polyprotein LINE-1	Zea mays	nr	diaBlastP	1.6e-53
10056	10321	737	1625	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10057	10321	737	1625	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10058	10321	737	1625	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10059	10321	725	1625	1	OTG24127.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.8e-227
10060	10321	723	1625	1	KYP33441.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.1e-194
10061	10326	375	1228	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.3e-271
10062	10326	375	1228	1	OTG00134.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.5e-267
10063	10326	375	1228	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-266
10064	10326	399	1228	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	5.4e-260
10065	10326	375	1222	1	OTG12858.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.0e-258
10066	10328	723	1583	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.2e-259
10067	10328	723	1583	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.5e-259
10068	10328	723	1583	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	7.6e-259
10069	10328	721	1581	1	OTG24127.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.4e-173
10070	10328	149	1394	1	XP_022007251.1	uncharacterized protein LOC110906425	Helianthus annuus	nr	diaBlastP	7.2e-132
10071	10327	1	218	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	2.8e-87
10072	10327	1	218	1	ADB85430.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	6.1e-82
10073	10327	1	218	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	6.7e-81
10074	10327	1	218	1	ABG22008.1	retrotransposon protein, putative, Ty1-copia subclass	Oryza sativa Japonica Group	nr	diaBlastP	2.8e-79
10075	10327	1	218	1	ADB85429.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	8.2e-79
10076	10329	1	438	1	OTG21245.1	putative ribonuclease H-like domain, Reverse transcriptase, RNA-dependent DNA polymerase	Helianthus annuus	nr	diaBlastP	2.5e-175
10077	10329	1	438	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.0e-174
10078	10329	1	438	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.8e-173
10079	10329	1	438	1	OTG00134.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.8e-173
10080	10329	1	438	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.3e-171
10081	10331	164	633	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	4.5e-84
10082	10331	164	633	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	1.7e-83
10083	10331	164	558	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	7.4e-79
10084	10331	164	558	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	4.8e-78
10085	10331	164	558	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	1.1e-77
10086	10332	1	264	1	XP_021974458.1	uncharacterized protein LOC110869524	Helianthus annuus	nr	diaBlastP	3.8e-68
10087	10332	7	256	1	XP_022042060.1	uncharacterized protein LOC110944718	Helianthus annuus	nr	diaBlastP	1.5e-64
10088	10332	2	198	1	OTF91700.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	9.1e-62
10089	10332	2	198	1	OTG27877.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	1.2e-61
10090	10332	2	198	1	OTG13517.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	1.6e-61
10091	10334	278	1312	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10092	10334	278	1312	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10093	10334	278	1312	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10094	10334	276	1304	1	OTG35476.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	1.6e-273
10095	10334	276	1304	1	OTF92899.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.5e-272
10096	10342	2	624	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	5.4e-176
10097	10342	2	624	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.2e-175
10098	10342	2	624	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	4.6e-175
10099	10342	8	624	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.3e-124
10100	10342	11	624	1	OTG24127.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.7e-124
10101	10339	356	618	1	GBC54550.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 181602	nr	diaBlastP	7.9e-66
10102	10339	329	623	1	KYP34804.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Cajanus cajan	nr	diaBlastP	3.0e-65
10103	10339	329	627	1	KYP64004.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial	Cajanus cajan	nr	diaBlastP	8.1e-63
10104	10339	281	601	1	XP_017247691.1	PREDICTED: uncharacterized protein LOC108218987	Daucus carota subsp. sativus	nr	diaBlastP	2.6e-61
10105	10339	331	627	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.4e-59
10106	10338	140	395	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	8.2e-75
10107	10338	2	362	1	AGM34085.1	cysteine-rich RLK	Lactuca sativa	nr	diaBlastP	3.3e-68
10108	10338	147	362	1	GBC54551.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 181602	nr	diaBlastP	3.1e-66
10109	10338	132	404	1	CAN64335.1	hypothetical protein VITISV_001808	Vitis vinifera	nr	diaBlastP	4.5e-65
10110	10338	144	362	1	OKX69900.1	hypothetical protein AXD71_14835, partial	Listeria monocytogenes	nr	diaBlastP	2.2e-64
10111	10344	2	1117	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10112	10344	2	1117	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10113	10344	2	1117	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
10114	10344	2	1109	1	OTF92807.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.5e-290
